"Name","State","Over25Earnings","Over25FemaleEarnings","Over25MaleEarnings","Pop"
"Falls Church City County","VA","84000","63014","102264","15067"
"Los Alamos County","NM","81825","57804","104973","20512"
"Arlington County","VA","79430","70167","87280","239293"
"Loudoun County","VA","74898","55160","98321","437586"
"Howard County","MD","70298","56120","86951","334897"
"San Francisco County","CA","68040","60934","76050","884108"
"New York County","NY","67770","60288","78033","1627660"
"Morris County","NJ","66109","52996","82819","488170"
"Douglas County","CO","65613","48849","86197","375649"
"Fairfax County","VA","65056","53714","80532","1144740"
"District of Columbia County","DC","64827","60284","71575","718355"
"Hunterdon County","NJ","64756","51639","82675","123063"
"Somerset County","NJ","64610","53490","79035","325193"
"Fairfax City County","VA","64538","55538","72393","24901"
"Alexandria City","VA","64490","61036","71061","160505"
"Santa Clara County","CA","64221","51687","81459","1914400"
"North Slope County","AK","64056","55625","69119","9778"
"Marin County","CA","64038","53250","80135","256318"
"Calvert County","MD","63358","52340","75020","93905"
"San Mateo County","CA","62386","54094","71013","760249"
"Delaware County","OH","62013","46815","77611","221435"
"Williamson County","TN","61870","43815","85763","257714"
"Norfolk County","MA","61641","51995","72481","717410"
"Middlesex County","MA","61221","51008","72218","1621390"
"Charles County","MD","60234","54475","64730","168600"
"Forsyth County","GA","60050","42503","81337","266029"
"Montgomery County","MD","59788","51403","69224","1057320"
"Nassau County","NY","59724","49218","71826","1355090"
"Bergen County","NJ","59239","49959","70023","930360"
"Stafford County","VA","59152","43575","75496","162056"
"Hamilton County","IN","59020","44842","76355","361111"
"Broomfield County","CO","57921","48034","71481","73888"
"St. Mary's County","MD","57907","42904","73055","115880"
"Anne Arundel County","MD","57900","48497","67468","590367"
"Chester County","PA","57770","45920","70865","533698"
"Collin County","TX","57577","46110","74867","1126000"
"Dallas County","IA","57448","48704","69178","103953"
"Monmouth County","NJ","57178","44415","74047","613803"
"King County","WA","57130","46846","69014","2326040"
"Carver County","MN","57082","45179","71213","109757"
"Elbert County","CO","56986","41830","69138","28007"
"Tolland County","CT","56854","47203","65623","150817"
"Rockwall County","TX","56828","46657","71014","118022"
"Westchester County","NY","56826","48779","67631","965385"
"Poquoson","VA","56449","44651","64473","12577"
"Alameda County","CA","56246","49900","63753","1685050"
"Chambers County","TX","56242","35828","75746","48667"
"Frederick County","MD","55831","47142","65665","273359"
"Fauquier County","VA","55604","43347","68780","72962"
"Middlesex County","CT","55429","46748","64307","161134"
"Carroll County","MD","54815","43387","65920","168987"
"Eureka County","NV","54805","28095","75761","2122"
"Montgomery County","PA","54754","46329","64282","842888"
"Washington County","MN","54651","45475","63851","273063"
"Scott County","MN","54614","43940","67055","154479"
"Placer County","CA","54502","44875","66958","416326"
"Contra Costa County","CA","54396","45951","64594","1162550"
"Putnam County","NY","54310","43431","67549","96838"
"Sussex County","NJ","54281","45104","64090","139549"
"Harford County","MD","54158","44137","65482","260118"
"Warren County","OH","53998","41301","67390","242573"
"Prince William County","VA","53860","43658","63951","482635"
"Fayette County","GA","53630","40374","70734","118141"
"Richmond County","NY","53576","44989","61322","475792"
"Lander County","NV","53517","31475","64398","5487"
"Fairfield County","CT","53384","43432","64608","941415"
