iso-state,zip,city,state-name
US-AK,99801,Juneau,Alaska
US-AL,36104,Montgomery,Alabama
US-AR,72201,Little Rock,Arkansas
US-AS,96799,Pago Pago,American Samoa
US-AZ,85001,Phoenix,Arizona
US-CA,95814,Sacramento,California
US-CO,80202,Denver,Colorado
US-CT,06103,Hartford,Connecticut
US-DC,20001,Washington,District of Columbia
US-DE,19901,Dover,Delaware
US-FL,32301,Tallahassee,Florida
US-GA,30303,Atlanta,Georgia
US-HI,96813,Honolulu,Hawaii
US-IA,50309,Des Moines,Iowa
US-ID,83702,Boise,Idaho
US-IL,62701,Springfield,Illinois
US-IN,46225,Indianapolis,Indiana
US-KS,66603,Topeka,Kansas
US-KY,40601,Frankfort,Kentucky
US-LA,70802,Baton Rouge,Louisiana
US-MA,02201,Boston,Massachusetts
US-MD,21401,Annapolis,Maryland
US-ME,04330,Augusta,Maine
US-MI,48933,Lansing,Michigan
US-MN,55102,St. Paul,Minnesota
US-MO,65101,Jefferson City,Missouri
US-MP,96950,Saipan,Northern Mariana Islands
US-MS,39205,Jackson,Mississippi
US-MT,59623,Helena,Montana
US-NC,27601,Raleigh,North Carolina
US-ND,58501,Bismarck,North Dakota
US-NE,68502,Lincoln,Nebraska
US-NH,03301,Concord,New Hampshire
US-NJ,08608,Trenton,New Jersey
US-NM,87501,Santa Fe,New Mexico
US-NV,89701,Carson City,Nevada
US-NY,12207,Albany,New York
US-OH,43215,Columbus,Ohio
US-OK,73102,Oklahoma City,Oklahoma
US-OR,97301,Salem,Oregon
US-PA,17101,"Harrisburg,",Pennsylvania
US-PR,00901,San Juan,Puerto Rico
US-RI,02903,Providence,Rhode Island
US-SC,29217,Columbia,South Carolina
US-SD,57501,Pierre,South Dakota
US-TN,37219,Nashville,Tennessee
US-TX,78701,Austin,Texas
US-UT,84111,Salt Lake City,Utah
US-VA,23219,Richmond,Virginia
US-VI,00802,Charlotte Amalie,Virgin Islands
US-VT,05602,Montpelier,Vermont
US-WA,98507,Olympia,Washington
US-WI,53703,Madison,Wisconsin
US-WV,25301,Charleston,West Virginia
US-WY,82001,Cheyenne,Wyoming
