"Name","State","PovertyRate","Poverty","Pop"
"Todd County","SD","0.5599","5584","9973"
"Mellette County","SD","0.4865","1042","2142"
"Corson County","SD","0.4840","1844","3810"
"Oglala Lakota County","SD","0.4790","6569","13715"
"Holmes County","MS","0.4585","7202","15708"
"Buffalo County","SD","0.4493","794","1767"
"Presidio County","TX","0.4349","2717","6248"
"Sioux County","ND","0.4331","1641","3789"
"Clay County","GA","0.4262","1144","2684"
"Ziebach County","SD","0.4230","1181","2792"
"Quitman County","MS","0.4160","2497","6003"
"Jackson County","SD","0.4088","1448","3542"
"Leslie County","KY","0.4064","3680","9055"
"Humphreys County","MS","0.4033","3020","7488"
"Tensas Parish","LA","0.4019","1578","3926"
"Greene County","AL","0.4017","3140","7817"
"Clinch County","GA","0.3976","2649","6663"
"Bennett County","SD","0.3923","1193","3041"
"Claiborne County","MS","0.3914","3419","8736"
"Kusilvak County","AK","0.3855","3195","8287"
"Brooks County","TX","0.3850","2724","7075"
"Leflore County","MS","0.3816","10260","26884"
"Coahoma County","MS","0.3811","7882","20681"
"Washington County","MS","0.3800","15399","40528"
"Jefferson County","MS","0.3787","2530","6681"
"Phillips County","AR","0.3750","6362","16966"
"Bell County","KY","0.3737","9218","24667"
"Harlan County","KY","0.3717","9335","25113"
"Bolivar County","MS","0.3632","10593","29167"
"McDowell County","WV","0.3603","5704","15833"
"Breathitt County","KY","0.3592","4367","12159"
"Menominee County","WI","0.3589","1593","4439"
"Clay County","KY","0.3588","6940","19340"
"McKinley County","NM","0.3582","24982","69735"
"Letcher County","KY","0.3567","7409","20773"
"Dimmit County","TX","0.3508","3477","9911"
"Zavala County","TX","0.3502","4011","11453"
"Cottle County","TX","0.3492","505","1446"
"Apache County","AZ","0.3450","24963","72355"
"Zapata County","TX","0.3426","4888","14269"
"Noxubee County","MS","0.3400","3406","10018"
"Benson County","ND","0.3368","2174","6454"
"Starr County","TX","0.3347","22015","65785"
"Madison Parish","LA","0.3336","3408","10216"
"Randolph County","GA","0.3333","2225","6676"
"Natchitoches Parish","LA","0.3326","12235","36784"
"Dallas County","AL","0.3305","11204","33902"
"Knox County","KY","0.3296","10113","30680"
"Dillon County","SC","0.3275","9852","30080"
"Crisp County","GA","0.3274","7085","21637"
"Wilkinson County","MS","0.3269","2673","8177"
"Terrell County","GA","0.3251","2719","8363"
"Pike County","MS","0.3239","12637","39012"
"Knott County","KY","0.3237","4531","13996"
"Jackson County","KY","0.3235","4240","13107"
"Wilcox County","AL","0.3209","3111","9695"
"Sumter County","AL","0.3203","3782","11806"
"Sunflower County","MS","0.3181","6937","21807"
"Floyd County","KY","0.3165","10973","34668"
"Jenkins County","GA","0.3157","2655","8409"
"Alexander County","IL","0.3156","1553","4921"
"Atkinson County","GA","0.3152","2482","7874"
"Blaine County","MT","0.3141","2011","6402"
"Chicot County","AR","0.3140","2872","9146"
"Mingo County","WV","0.3131","6933","22143"
"McCreary County","KY","0.3125","5330","17054"
"Dewey County","SD","0.3123","1809","5793"
"Early County","GA","0.3117","3086","9902"
"Turner County","GA","0.3113","2558","8216"
"Estill County","KY","0.3109","4345","13974"
"Culberson County","TX","0.3107","653","2102"
"Pemiscot County","MO","0.3100","4480","14452"
"Webster Parish","LA","0.3087","11416","36984"
"Claiborne Parish","LA","0.3084","4625","14995"
"Perry County","AL","0.3079","2612","8482"
"Owsley County","KY","0.3079","1305","4238"
"Desha County","AR","0.3079","3363","10923"
"Glacier County","MT","0.3074","4159","13528"
"Monroe County","AR","0.3061","1887","6164"
"Adams County","MS","0.3054","9052","29640"
"East Carroll Parish","LA","0.3052","1972","6462"
"Candler County","GA","0.3020","3241","10731"
"Jim Hogg County","TX","0.3017","1576","5224"
"Ben Hill County","GA","0.3015","4925","16334"
"Richland Parish","LA","0.2990","5926","19819"
"Magoffin County","KY","0.2986","3486","11675"
"Morehouse Parish","LA","0.2981","7013","23524"
"Monroe County","AL","0.2972","5869","19746"
"Buchanan County","VA","0.2966","5905","19909"
"Lowndes County","AL","0.2966","2664","8982"
"Montgomery County","MS","0.2946","2686","9118"
"Socorro County","NM","0.2935","4824","16436"
"Wolfe County","KY","0.2927","2058","7031"
"Lincoln Parish","LA","0.2926","13350","45632"
"Barnwell County","SC","0.2924","5878","20101"
"Bienville Parish","LA","0.2906","3759","12935"
"Clay County","WV","0.2900","2353","8115"
"Dougherty County","GA","0.2897","24396","84224"
"Radford","VA","0.2861","5349","18693"
"Bullock County","AL","0.2859","2825","9882"
"Madison County","ID","0.2853","11937","41845"
"Barbour County","AL","0.2849","6875","24128"
"Bronx County","NY","0.2849","392172","1376570"
"Roosevelt County","MT","0.2844","3074","10809"
"Webster County","WV","0.2843","2170","7634"
"Lawrence County","KY","0.2834","4115","14519"
"Cameron County","TX","0.2833","120764","426235"
"Sharkey County","MS","0.2832","1178","4159"
"Ozark County","MO","0.2832","2686","9486"
"Rolette County","ND","0.2829","3863","13657"
"Hidalgo County","TX","0.2825","250879","887934"
"Fulton County","KY","0.2825","1604","5678"
"Luna County","NM","0.2824","6553","23205"
"Franklin Parish","LA","0.2816","5511","19568"
"Robeson County","NC","0.2815","35706","126848"
"Yukon-Koyukuk County","AK","0.2792","1352","4843"
"Tallahatchie County","MS","0.2781","3713","13353"
"San Miguel County","NM","0.2772","7392","26668"
"Adair County","OK","0.2771","6124","22104"
"Choctaw County","OK","0.2763","4032","14594"
"Gulf County","FL","0.2762","1690","6118"
"Sierra County","NM","0.2761","2849","10317"
"Issaquena County","MS","0.2761","383","1387"
"Evangeline Parish","LA","0.2753","9111","33092"
"Perry County","KY","0.2750","6712","24408"
"Norton","VA","0.2750","1102","4008"
"Shannon County","MO","0.2738","2217","8097"
"Logan County","WV","0.2733","8268","30249"
"Attala County","MS","0.2729","4834","17712"
"Woodruff County","AR","0.2713","1596","5882"
"Northwest Arctic County","AK","0.2695","1995","7402"
"Amite County","MS","0.2688","3281","12207"
"Dickenson County","VA","0.2676","3665","13694"
"Halifax County","NC","0.2672","12864","48138"
"Dunklin County","MO","0.2672","7505","28090"
"Hancock County","TN","0.2669","1814","6797"
"Oktibbeha County","MS","0.2668","13499","50601"
"Lafayette County","AR","0.2664","1721","6459"
"St. Landry Parish","LA","0.2664","21355","80150"
"Emporia","VA","0.2659","1408","5295"
"Warren County","GA","0.2658","1402","5275"
"Newton County","MS","0.2652","5305","20007"
"Clay County","TN","0.2650","1969","7429"
"Tunica County","MS","0.2650","2322","8762"
"Lee County","KY","0.2644","2236","8456"
"Ripley County","MO","0.2642","3406","12892"
"Webb County","TX","0.2641","74264","281248"
"Jones County","NC","0.2640","2333","8837"
"Kemper County","MS","0.2640","2579","9769"
"Williamsburg County","SC","0.2640","7828","29654"
"Bethel County","AK","0.2637","4980","18887"
"Sumter County","GA","0.2636","7567","28708"
"Hidalgo County","NM","0.2632","1079","4099"
"Navajo County","AZ","0.2626","29663","112970"
"Nicholas County","KY","0.2623","1965","7491"
"Athens County","OH","0.2616","16942","64751"
"Laurens County","GA","0.2603","12539","48176"
"Maverick County","TX","0.2600","15616","60060"
"Evans County","GA","0.2598","2730","10510"
"Clarke County","GA","0.2596","34146","131520"
"Pike County","KY","0.2596","14545","56028"
"Jackson County","IL","0.2595","14307","55133"
"Willacy County","TX","0.2594","5468","21082"
"Clay County","MS","0.2593","4941","19052"
"Scott County","MS","0.2593","7141","27539"
"Taliaferro County","GA","0.2591","340","1312"
"Kleberg County","TX","0.2587","7904","30554"
"Seminole County","GA","0.2581","1949","7550"
"Lee County","SC","0.2577","3977","15430"
"Taylor County","GA","0.2577","2067","8020"
"Marion County","MS","0.2577","6193","24036"
"Mississippi County","AR","0.2575","10017","38896"
"Wayne County","MO","0.2575","3115","12096"
"Perry County","TN","0.2574","2099","8154"
"Red River Parish","LA","0.2571","2106","8190"
"Boone County","WV","0.2565","5123","19969"
"Thurston County","NE","0.2563","1813","7074"
"Carter County","KY","0.2560","6674","26068"
"Jefferson Davis County","MS","0.2559","2781","10867"
"Wheeler County","GA","0.2559","1977","7726"
"Leake County","MS","0.2558","5824","22771"
"Newton County","TX","0.2557","3357","13127"
"Robertson County","KY","0.2556","522","2042"
"Big Horn County","MT","0.2556","3369","13181"
"Bladen County","NC","0.2547","8008","31435"
"Neshoba County","MS","0.2546","7388","29019"
"Scotland County","NC","0.2539","8897","35039"
"Wayne County","KY","0.2531","5073","20042"
"Harrisonburg","VA","0.2524","13025","51600"
"Cibola County","NM","0.2523","6660","26402"
"Doña Ana County","NM","0.2516","55581","220946"
"Gallatin County","IL","0.2514","1050","4177"
"Lee County","VA","0.2506","5694","22724"
"Choctaw County","AL","0.2503","2968","11857"
"Cochran County","TX","0.2501","730","2919"
"Covington County","MS","0.2499","4515","18069"
"Roosevelt County","NM","0.2497","4425","17723"
"Allendale County","SC","0.2492","1989","7980"
"Marlboro County","SC","0.2490","6298","25296"
"Costilla County","CO","0.2488","1023","4112"
"Forrest County","MS","0.2485","18604","74852"
"Walthall County","MS","0.2480","3431","13836"
"Baker County","GA","0.2478","717","2894"
"Grant County","NM","0.2477","6460","26083"
"Wayne County","WV","0.2471","9323","37725"
"Treutlen County","GA","0.2468","1768","7165"
"Edgecombe County","NC","0.2467","12317","49936"
"Madison County","FL","0.2465","4523","18352"
"Hall County","TX","0.2463","685","2781"
"Okfuskee County","OK","0.2463","2889","11729"
"Rowan County","KY","0.2462","5991","24331"
"Ouachita Parish","LA","0.2461","36766","149403"
"McDuffie County","GA","0.2457","5075","20652"
"Grayson County","KY","0.2454","6585","26829"
"Isabella County","MI","0.2453","16707","68099"
"Hale County","AL","0.2453","3522","14357"
"San Juan County","UT","0.2452","3716","15158"
"Richmond County","NC","0.2449","10935","44652"
"Payne County","OK","0.2448","19739","80620"
"Wyoming County","WV","0.2447","4705","19224"
